xflr5 v6.62

Plane name :        S1223W-0.6T
Polar name :        T1-20.0 m/s-VLM2
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -10.000     0.000   0.195704   0.002135   0.078093   0.080228  -0.000000   0.000000  -0.425832   0.000000  -0.000000   20.0000     0.2318
   -9.500     0.000   0.235341   0.002978   0.072364   0.075342  -0.000000   0.000000  -0.445326   0.000000  -0.000000   20.0000     0.2008
   -9.000     0.000   0.274969   0.003974   0.067811   0.071785  -0.000000   0.000000  -0.464719   0.000000  -0.000000   20.0000     0.1787
   -8.500     0.000   0.314581   0.005122   0.064056   0.069178  -0.000000   0.000000  -0.484044   0.000000   0.000000   20.0000     0.1621
   -8.000     0.000   0.354170   0.006422   0.060829   0.067252  -0.000000   0.000000  -0.503309   0.000000  -0.000000   20.0000     0.1493
   -7.500     0.000   0.393730   0.007875   0.057768   0.065643   0.000000   0.000000  -0.522536   0.000000   0.000000   20.0000     0.1390
   -7.000     0.000   0.433253   0.009480   0.054798   0.064278   0.000000   0.000000  -0.541727   0.000000   0.000000   20.0000     0.1306
   -6.500     0.000   0.472732   0.011237   0.051859   0.063096   0.000000   0.000000  -0.560882   0.000000  -0.000000   20.0000     0.1236
   -6.000     0.000   0.512160   0.013146   0.049044   0.062190   0.000000   0.000000  -0.579990   0.000000  -0.000000   20.0000     0.1177
   -5.500     0.000   0.551530   0.015205   0.046595   0.061800   0.000000   0.000000  -0.599037   0.000000  -0.000000   20.0000     0.1127
   -5.000     0.000   0.590836   0.017414   0.044291   0.061705   0.000000   0.000000  -0.618032   0.000000  -0.000000   20.0000     0.1083
   -4.500     0.000   0.630069   0.019772   0.042006   0.061778   0.000000   0.000000  -0.636973   0.000000  -0.000000   20.0000     0.1045
   -4.000     0.000   0.669224   0.022279   0.039850   0.062129   0.000000   0.000000  -0.655852   0.000000  -0.000000   20.0000     0.1011
   -3.500     0.000   0.708294   0.024933   0.037849   0.062782   0.000000  -0.000000  -0.674666  -0.000000  -0.000000   20.0000     0.0981
   -3.000     0.000   0.747271   0.027733   0.035870   0.063603   0.000000  -0.000000  -0.693411  -0.000000  -0.000000   20.0000     0.0954
   -2.500     0.000   0.786149   0.030678   0.033897   0.064574   0.000000  -0.000000  -0.712084  -0.000000  -0.000000   20.0000     0.0930
   -2.000     0.000   0.824921   0.033766   0.031928   0.065694   0.000000  -0.000000  -0.730679  -0.000000  -0.000000   20.0000     0.0908
   -1.500     0.000   0.863580   0.036996   0.029968   0.066964   0.000000  -0.000000  -0.749190  -0.000000  -0.000000   20.0000     0.0888
   -1.000     0.000   0.902119   0.040367   0.028062   0.068429   0.000000  -0.000000  -0.767611  -0.000000  -0.000000   20.0000     0.0870
   -0.500     0.000   0.940532   0.043876   0.026215   0.070092   0.000000  -0.000000  -0.785937  -0.000000  -0.000000   20.0000     0.0854
    0.000     0.000   0.978813   0.047523   0.024417   0.071939   0.000000  -0.000000  -0.804165  -0.000000  -0.000000   20.0000     0.0839
    0.500     0.000   1.016954   0.051304   0.023235   0.074538   0.000000  -0.000000  -0.822289   0.000000  -0.000000   20.0000     0.0825
    1.000     0.000   1.054949   0.055217   0.022609   0.077826   0.000000  -0.000000  -0.840312  -0.000000  -0.000000   20.0000     0.0812
    1.500     0.000   1.092792   0.059262   0.022338   0.081600   0.000000  -0.000000  -0.858233   0.000000  -0.000000   20.0000     0.0800
    2.000     0.000   1.130477   0.063435   0.022252   0.085687   0.000000  -0.000000  -0.876048  -0.000000  -0.000000   20.0000     0.0789
    2.500     0.000   1.167996   0.067734   0.022411   0.090146   0.000000  -0.000000  -0.893756   0.000000  -0.000000   20.0000     0.0778
    3.000     0.000   1.205344   0.072157   0.022794   0.094951   0.000000  -0.000000  -0.911352  -0.000000  -0.000000   20.0000     0.0769
    3.500     0.000   1.242515   0.076702   0.023120   0.099822   0.000000  -0.000000  -0.928827  -0.000000  -0.000000   20.0000     0.0760
    4.000     0.000   1.279502   0.081364   0.023500   0.104864   0.000000  -0.000000  -0.946179  -0.000000  -0.000000   20.0000     0.0751
    4.500     0.000   1.316299   0.086143   0.023840   0.109983   0.000000  -0.000000  -0.963401  -0.000000  -0.000000   20.0000     0.0744
    5.000     0.000   1.352901   0.091034   0.024151   0.115185   0.000000  -0.000000  -0.980486  -0.000000  -0.000000   20.0000     0.0736
    5.500     0.000   1.389301   0.096036   0.024502   0.120538   0.000000  -0.000000  -0.997432  -0.000000  -0.000000   20.0000     0.0729
    6.000     0.000   1.425494   0.101145   0.024919   0.126064   0.000000  -0.000000  -1.014236   0.000000  -0.000000   20.0000     0.0723
    6.500     0.000   1.461474   0.106357   0.025350   0.131707   0.000000  -0.000000  -1.030890  -0.000000  -0.000000   20.0000     0.0716
    7.000     0.000   1.497236   0.111671   0.025820   0.137491   0.000000  -0.000000  -1.047391  -0.000000  -0.000000   20.0000     0.0711
    7.500     0.000   1.532773   0.117082   0.026397   0.143480   0.000000  -0.000000  -1.063740   0.000000  -0.000000   20.0000     0.0705
    8.000     0.000   1.568081   0.122588   0.027070   0.149658   0.000000  -0.000000  -1.079933   0.000000  -0.000000   20.0000     0.0700
    8.500     0.000   1.603153   0.128184   0.027765   0.155949   0.000000  -0.000000  -1.095958   0.000000  -0.000000   20.0000     0.0695
    9.000     0.000   1.637986   0.133867   0.028532   0.162399   0.000000  -0.000000  -1.111817  -0.000000  -0.000000   20.0000     0.0690
    9.500     0.000   1.672573   0.139635   0.029374   0.169009   0.000000  -0.000000  -1.127504   0.000000  -0.000000   20.0000     0.0686
   10.000     0.000   1.706909   0.145483   0.030251   0.175733   0.000000  -0.000000  -1.143012   0.000000  -0.000000   20.0000     0.0681
   10.500     0.000   1.740991   0.151407   0.031196   0.182602   0.000000  -0.000000  -1.158341  -0.000000  -0.000000   20.0000     0.0677
   11.000     0.000   1.774812   0.157403   0.032447   0.189850   0.000000  -0.000000  -1.173508   0.000000  -0.000000   20.0000     0.0674
   11.500     0.000   1.808368   0.163469   0.033804   0.197273   0.000000  -0.000000  -1.188494  -0.000000  -0.000000   20.0000     0.0670
   12.000     0.000   1.841655   0.169600   0.035071   0.204671   0.000000  -0.000000  -1.203278   0.000000  -0.000000   20.0000     0.0667


